UID,NETID,ORCID,FullName,FirstName,LastName,MidName,Email,Phone,Fax,Title
ca61ede1,tjBrandon,,"Brandon, Timothy J.",Timothy,Brandon,J,tjBrandon@tamu.edu,,,Associate Professor
e7ee497b,belindaBraggs,,"Braggs, Belinda L.",Belinda,Braggs,L,belindaBraggs@tamu.edu,,,Lecturer
7f8372f3,Groass,,"Groass, Harold P.",Harold,Groass,P,Groass@tamu.edu,,,Professor
8.57E+08,gwMonroe,,"Monroe, Georgianne W.",Georgianne,Monroe,W,gwMonroe@tamu.edu,,,Associate Professor
c0f341af,rChaparo,,"Chaparo, Robert M.",Robert,Chaparo,M,rChaparo@tamu.edu,,,Professor
fd023ba6,Coghi,,"Coghi, Behbood B.",Behbood,Coghi,B,Coghi@tamu.edu,,,Professor
7a7aa175,kmMonroe,,"Monroe, Kevin M.",Kevin,Monroe,M,kmMonroe@tamu.edu,,,Executive Professor
97af54fb,dha,,"Hauer, Dustin T.",Dustin,Hauer,T,dha@tamu.edu,,,Lecturer
8422a439,jeTado,,"Tado, John E.",John,Tado,E,jeTado@tamu.edu,,,Associate Professor
883c4cb7,Rammstein,,"Rammstein, Heather L.",Heather,Rammstein,L,Rammstein@tamu.edu,,,Senior Lecturer
430cacbc,august,,"Bloomberg, Wanda",Wanda,Bloomberg,,august@tamu.edu,,,Adjunct Assistant Professor
b20fdbd9,s-Sane,,"Sane, Stephen H.",Stephen,Sane,H,s-Sane@tamu.edu,,,Distinguished Professor
c500baf1,blazenburn,,"Grass, Kati P.",Kati,Grass,P,,,,Veterinary Resident Instructor
9c4dca0b,aCarpou,,"Carpou, Andreas A.",Andreas,Carpou,A,aCarpou@tamu.edu,,,Professor and Head
9a25a80b,Ryak,,"Ryak, Larry W.",Larry,Ryak,W,Ryak@tamu.edu,,,Associate Professor
1921874d,Hanisg,,"Hani, Salem G.",Salem,Hani,G,Hanisg@tamu.edu,,,Associate Professor
274f2d27,kHartfield,,"Hartfield, Lloyd K.",Lloyd,Hartfield,K,kHartfield@tamu.edu,,,Lecturer
cc1476d6,d-Bilbaos,,"Bilbaos, David L.",David,Bilbaos,L,d-Bilbaos@tamu.edu,,,Professor
d138d94a,Horty,,"Horty, Robert L.",Robert,Horty,L,Horty@tamu.edu,,,Associate Professor
b9098a8e,s.Losh,,"Losh, Stephen B.",Stephen,Losh,B,s.Losh@tamu.edu,,,Assistant Professor
a90924e6,pyang,,"Pyang, Ping",Ping,Pyang,,pyang@tamu.edu,,,Professor
6ebab0fa,bill-Samac,,"Samac, Bill",Bill,Samac,,bill-Samac@tamu.edu,,,Professor
f17715d0,al-Gowan,,"Gowan, Annie L.",Annie,Gowan,L,al-Gowan@tamu.edu,,,Associate Professor
90e6f6c0,wHarter,,"Harter, Weston W.",Weston,Harter,W,wHarter@tamu.edu,,,Associate Professor
054759c0,rebeccaMcGill,,"McGill, Rebecca E.",Rebecca,McGill,E,rebeccaMcGill@tamu.edu,,,Assistant Professor
18fdb6b4,psLowess,,"Lowess, Patricia S.",Patricia,Lowess,S,psLowess@tamu.edu,,,Clinical Professor
38160486,wjKinley,,"Kinley, William J.",William,Kinley,J,wjKinley@tamu.edu,,,Senior Lecturer
9d92ca8b,serry,,"Serry, Amie L.",Amie,Serry,L,serry@tamu.edu,,,Assistant Lecturer
1aedaf52,bWinston,,"Winston, S B.",S,Winston,B,bWinston@tamu.edu,,,Professor
26f30b82,saskias,,"Szewski, Saskia",Saskia,Szewski,,saskias@tamu.edu,,,Associate Professor
96285042,Szewski,,"Szewski, Thomas D.",Thomas,Szewski,D,Szewski@tamu.edu,,,Associate Professor
24e3e4e2,woodly,,"Woodly, Billy D.",Billy,Woodly,D,woodly@tamu.edu,,,Professor
3469d15f,kPyndap,,"Pyndap, Kathrin A.",Kathrin,Pyndap,A,kPyndap@tamu.edu,,,Assistant Professor
d40b0c98,lMartin,,"Martin, Lanny R.",Lanny,Martin,R,lMartin@tamu.edu,,,Senior Lecturer
48d141da,g-Pappadopulos,,"Pappadopulos, Gregory F.",Gregory,Pappadopulos,F,g-Pappadopulos@tamu.edu,,,Professor
5677ce1c,Mepal,,"Mepal, Bimal P.",Bimal,Mepal,P,Mepal@tamu.edu,,,Assistant Professor
d522fec6,sAtckins,,"Atckins, Stephen R.",Stephen,Atckins,R,sAtckins@tamu.edu,,,Professor and Associate Dean
9ed36091,cNissen,,"Nissen, Colleen V.",Colleen,Nissen,V,cNissen@tamu.edu,,,Veterinary Intern Instructor
38f0640f,brianBriggs,,"Briggs, Brian C.",Brian,Briggs,C,brianBriggs@tamu.edu,,,Visiting Lecturer
0c7c03e3,gRetner,,"Retner, Gary L.",Gary,Retner,L,,,,Lecturer
bca92840,kyer,,"Kyer, Ellisa L.",Ellisa,Kyer,L,kyer@tamu.edu,,,Associate Professor
11e9b5be,jeffrey-m-b-Musner,,"Musner, Jeffrey M.",Jeffrey,Musner,M,jeffrey-m-b-Musner@tamu.edu,,,Clinical Associate Professor
194fc3c7,Pakostina,,"Pakostina, Natalia V.",Natalia,Pakostina,V,Pakostina@tamu.edu,,,Lecturer
8775e8bc,brunoh,,"Brunoh, Linda L.",Linda,Brunoh,L,brunoh@tamu.edu,,,Lecturer
ca139916,r-Tenrieth,,"Tenrieth, Robin L.",Robin,Tenrieth,L,r-Tenrieth@tamu.edu,,,Professor and Interim Head
54317d5b,garyBrison,,"Brison, Gary T.",Gary,Brison,T,garyBrison@tamu.edu,,,Associate Professor
ea775348,landy,,"Landy, Ryland F.",Ryland,Landy,F,landy@tamu.edu,,,Professor
b888266f,r-McGregor,0000-0002-5934-8808,"McGregor, Robert B.",Robert,McGregor,B,r-McGregor@tamu.edu,,,Associate Professor
dd8077e2,r-Booner,,"Booner, Robert E.",Robert,Booner,E,r-Booner@tamu.edu,,,Professor
f1c6fff3,gGartner,,"Gartner, Gerard T.",Gerard,Gartner,T,gGartner@tamu.edu,,,Professor
4663e6b4,le.Wu,,"Wu, Le",Le,Wu,,le.Wu@tamu.edu,,,Assistant Professor
a96b562e,tony-Bourgess,,"Bourgess, Anthony",Anthony,Bourgess,,tony-Bourgess@tamu.edu,,,Associate Professor
fda04cc0,aYehon,,"Yehon, Alvin T.",Alvin,Yehon,T,aYehon@tamu.edu,,,Associate Professor
bf942ec6,kevinKrisci,,"Krisci, Kevin L.",Kevin,Krisci,L,kevinKrisci@tamu.edu,,,Lecturer
fee0dccb,vuzella,,"Vuzella, Nancy B.",Nancy,Vuzella,B,vuzella@tamu.edu,,,Associate Professor
6340ff0a,herthy,,"Herthy, Bharathi S.",Bharathi,Herthy,S,herthy@tamu.edu,,,Lecturer
5cebea29,a-Thomsson,,"Thomsson, Alston V.",Alston,Thomsson,V,a-Thomsson@tamu.edu,,,Associate Professor
332dadae,rSmiths,,"Smiths, Randolph H.",Randolph,Smiths,H,rSmiths@tamu.edu,,,Clinical Professor
6dd3957c,jm-Micholssen,,"Micholssen, John M.",John,Micholssen,M,jm-Micholssen@tamu.edu,,,Associate Professor
e6ff3828,a-Poznan,,"Poznan, Anthony N.",Anthony,Poznan,N,a-Poznan@tamu.edu,,,Associate Professor
939f7165,julioBertol,,"Bertol, Julio S.",Julio,Bertol,S,julioBertol@tamu.edu,,,Associate Professor
4326eaa3,lShmidth,,"Shmidth, Loren C.",Loren,Shmidth,C,lShmidth@tamu.edu,,,Professor
1333856,jDexter,,"Dexter, Jerry D.",Jerry,Dexter,D,jDexter@tamu.edu,,,Executive Professor
